"","P1","P2","P3"
"V1",3,2,1
"V2",1,6,3
"V3",6,3,5
"V4",5,1,6
"V5",2,1,3
"V6",6,2,4
"V7",4,6,3
"V8",3,4,6
"V9",2,1,5
"V10",4,5,6
"V11",1,5,3
"V12",6,1,3
"V13",1,2,3
"V14",6,5,4
"V15",6,3,2
"V16",2,6,1
"V17",1,4,5
"V18",3,1,4
"V19",4,5,3
"V20",1,2,4
"V21",4,2,1
"V22",1,3,6
"V23",5,6,3
"V24",6,4,1
"V25",6,2,5
"V26",3,6,2
"V27",5,1,2
"V28",2,3,5
"V29",4,5,1
"V30",2,5,6
"V31",3,2,4
"V32",5,3,2
"V33",5,4,3
"V34",3,1,6
"V35",4,2,3
"V36",5,4,2
"V37",3,2,5
"V38",4,3,2
"V39",2,3,6
"V40",4,2,6
"V41",6,5,2
"V42",3,6,5
"V43",2,6,3
"V44",2,6,5
"V45",4,6,5
"V46",5,1,4
"V47",4,3,6
"V48",1,6,5
"V49",5,3,4
"V50",3,5,4
"V51",1,2,5
"V52",4,1,3
"V53",1,4,3
"V54",6,3,1
"V55",3,1,2
"V56",6,5,1
"V57",6,1,5
"V58",6,4,2
"V59",3,4,1
"V60",3,6,1
"V61",2,1,4
"V62",4,1,5
"V63",2,3,1
"V64",5,6,2
"V65",1,5,6
"V66",5,3,6
"V67",5,2,6
"V68",1,4,2
"V69",1,5,2
"V70",3,4,5
"V71",3,5,1
"V72",1,4,6
"V73",4,3,5
"V74",6,1,4
"V75",6,2,3
"V76",1,6,2
"V77",2,5,1
"V78",3,2,6
"V79",5,6,4
"V80",2,3,4
"V81",2,4,5
"V82",1,6,4
"V83",4,5,2
"V84",4,6,1
"V85",2,4,6
"V86",2,6,4
"V87",3,5,2
"V88",2,4,1
"V89",1,3,4
"V90",5,4,6
"V91",4,3,1
"V92",5,1,3
"V93",6,4,3
"V94",5,4,1
"V95",5,2,4
"V96",6,1,2
